List1_Name,List2_Name,combined similarity,jw_similarity,token_similarity
Algemene Bouw Deblaere,Algemene Bouw Deblaere BV,0.988,0.976,1
Styfhals Architecten,styfhals architecten bv,0.986956522,0.973913043,1
BAM Interbuild,BAM Interbuild bv,0.982352941,0.964705882,1
BRICSYS,BricsysÂ®,0.977777778,0.955555556,1
Valens SA,Valens SA/NV,0.975,0.95,1
DE ARCHITECTEN NV,B-architecten,0.974358974,0.948717949,1
PIERRET,Pierret sa,0.97,0.94,1
EQUANS SA,Equans BeLux,0.966666667,0.933333333,1
HOOYBERGHS HVAC,Hooyberghs,0.966666667,0.933333333,1
"STRAMIEN, architectuur & ruimte CV - multiprofessi",STRAMIEN architectuur & ruimte CV,0.966,0.932,1
THOMAS & PIRON HOLDING,Thomas & Piron,0.963636364,0.927272727,1
Port of Antwerp-Bruges International,Port of Antwerp-Bruges,0.961111111,0.922222222,1
Thomas & Piron Bâtiment,Thomas & Piron,0.960869565,0.92173913,1
Arcade BIM,Arcade,0.96,0.92,1
Macors,Macors SRL,0.96,0.92,1
M² ARCHITECTEN,M2 Architecten,0.958571429,0.957142857,0.96
STRABAG BRVZ BVBA,STRABAG,0.958333333,0.916666667,1
Thomas & Piron RENOVATION,Thomas & Piron,0.956,0.912,1
ASSA ABLOY,ASSA ABLOY Opening Solutions,0.955555556,0.911111111,1
Artes TWT,Artes Group,0.955555556,0.911111111,1
ISTEMA,Istema N.V.,0.954545455,0.909090909,1
BOLLINGER GROHMANN INGENIERIE,Bollinger+Grohmann,0.953065134,0.906130268,1
WILLY NAESSENS INDUSTRIEBOUW,Willy Naessens Industriebouw / BÃ¢timents Industriels,0.952830189,0.905660377,1
ASSAR BE ARCHITECTS srl,ASSAR ARCHITECTS,0.950815217,0.901630435,1
BIM PLAN,Bimplan,0.950416667,0.970833333,0.93
macobo,MACOBO-STABO,0.95,0.9,1
DESCHACHT PLASTICS BELGIUM,Deschacht,0.95,0.9,1
"Vanhout, Kathy",Vanhout,0.95,0.9,1
Renders,Reynders,0.948333333,0.966666667,0.93
Galère,GalÃ¨re,0.947222222,0.894444444,1
ARCADIS BELGIUM HOLDING,Arcadis,0.946666667,0.893333333,1
"ART ` BUILD, ARCHITECTS",ArtBuild Architects,0.946289092,0.922578185,0.97
Jansen Energy Solutions,Group Jansen,0.946153846,0.892307692,1
STADSBADER CONTRACTORS,STADSBADER NV,0.945454545,0.890909091,1
Arch & Teco - Architectuur,ARCH & TECO,0.942307692,0.884615385,1
Artes Depret,Artes Group,0.941666667,0.883333333,1
SPIE - CGI,SPIE Belgium,0.94,0.88,1
3D-ARCHITECTEN,3ARCHITECTEN,0.938571429,0.957142857,0.92
DELTA CONSULTING,Delta Thermic Antwerpen,0.938461538,0.876923077,1
Trias architecten,TRiAS architects,0.936985294,0.963970588,0.91
ABV+ ARCHITECTEN,AMV architecten,0.93625,0.9425,0.93
Vinci,VINCI Energies,0.935714286,0.871428571,1
Artes Roegiers,Artes Group,0.935714286,0.871428571,1
TECON GROEP,Teccon bvba,0.935555556,0.961111111,0.91
QUERCUS,QUERCUS architecture,0.935,0.87,1
Vandenbussche,Vandenbussche NV - Bouwonderneming Aalter,0.934210526,0.868421053,1
VERELST INTERNATIONAL,Groep Verelst,0.933333333,0.866666667,1
WYCKAERT,WYCKAERT Bouwonderneming,0.933333333,0.866666667,1
VMA SUD,VMA,0.933333333,0.866666667,1
ENERDO,Enerdo Studiebureau,0.931578947,0.863157895,1
Artes Woudenberg,Artes Group,0.93125,0.8625,1
Van Roey Vastgoed,Groep Van Roey,0.930769231,0.861538462,1
CFE -MBG,CFE,0.927083333,0.854166667,1
JANSEN THE BUILDING COMPANY,Group Jansen,0.926086957,0.852173913,1
VAN TORNHAUT,Van Tornhaut Algemene Ondernemingen,0.925806452,0.851612903,1
Jansen Cleanrooms & Labs,Group Jansen,0.925,0.85,1
SIX,SIX Izegem,0.918333333,0.836666667,1
Deme Building Materials,DEME Group,0.917391304,0.834782609,1
D+A CONSULT,D+A,0.915151515,0.83030303,1
D'HULST,dhulst'â€‹,0.878571429,0.837142857,0.92
