Naam bedrijf,Datum laatst gecontacteerd,Status,company_cleaned,UID
Bluecrux,24/04/2024,Prospect,bluecrux,PL130
Gumption Group,12/06/2024,Prospect,gumption,PL131
General MediQs,08/01/2024,Prospect,general mediqs,PL132
Xylos NV,19/04/2024,Prospect,xylos,PL133
Brainbridge,05/08/2024,Nieuwe klant,brainbridge,PL134
Oxygen,28/05/2024,Prospect,oxygen,PL135
Engie,13/05/2024,Prospect,engie,PL136
iBanFirst,08/05/2024,Prospect,ibanfirst,PL137
Keyrus,08/05/2024,Prospect,keyrus,PL138
Hyperion,25/04/2024,Prospect,hyperion,PL139
Kunnig,25/04/2024,Prospect,kunnig,PL140
Grand Vision Belgium,25/04/2024,Prospect,grand vision belgium,PL141
Van Moer Logistics,,Prospect,van moer logistics,PL142
Kreon,,Prospect,kreon,PL143
Dropsolid Digital Expercience,,Prospect,dropsolid digital expercience,PL144
Sibelga,,Prospect,sibelga,PL145
SBB Bedrijfsdiensten,,Prospect,sbb bedrijfsdiensten,PL146
Update-pro,,Prospect,updatepro,PL147
De Mobiliteitsmakelaar,,Prospect,de mobiliteitsmakelaar,PL148
Soudal,,Prospect,soudal,PL149
Investr,,Prospect,investr,PL150
Brouwerij Martens,,Prospect,brouwerij martens,PL151
Bleckmann,,Prospect,bleckmann,PL152
Besix Infra,,Prospect,besix infra,PL153
Vinci Energies Belgium,,Prospect,vinci energies belgium,PL154
In4Matic,,Prospect,in4matic,PL155
Smartmat / Foodbag,,Prospect,smartmat  foodbag,PL156
Stadsbader NV,,Prospect,stadsbader,PL157
Q8,,Prospect,q8,PL158
Logi-Technic,,Prospect,logitechnic,PL159
Arxus,,Klant,arxus,PL160
Amista,,Klant,amista,PL161
Baltimore Aircoil International,,Klant,baltimore aircoil international,PL162
Exellys,,Prospect,exellys,PL163
Eubelius,,Prospect,eubelius,PL164
Jobat,,Klant,jobat,PL165
Remant Transport Architects,,Klant,remant transport architects,PL166
Beko,,Prospect,beko,PL167
Turbulent,,Prospect,turbulent,PL168
BENTON,,Klant,benton,PL169
Cordeel Group,,Klant,cordeel,PL170
Adpo Group,,Prospect,adpo,PL171
Influo,,Prospect,influo,PL172
Futureproofed (Sweco),,Prospect,futureproofed sweco,PL173
Sander,,Prospect,sander,PL174
La Lorraine bakery group,,Prospect,la lorraine bakery,PL175
Attentia,,Prospect,attentia,PL176
Arvesta,,Prospect,arvesta,PL177
iCredit,,Prospect,icredit,PL178
Securex,,Prospect,securex,PL179
YAASS!,,Nieuwe klant,yaass,PL180
Beobank,,Prospect,beobank,PL181
Tenneco,,Prospect,tenneco,PL182
Lantis,,Prospect,lantis,PL183
UZ Brussel,,Prospect,uz brussel,PL184
Building Technology,,Prospect,building technology,PL185
AB Inbev,,Prospect,ab inbev,PL186
CTG Belgium,,Prospect,ctg belgium,PL187
PepsiCo,,Prospect,pepsico,PL188
The Chocolate Family,,Prospect,the chocolate family,PL189
Heylen Vastgoed,,Prospect,heylen vastgoed,PL190
Euroports Group BV,,Prospect,euroports,PL191
Uptime Group,,Prospect,uptime,PL192
OMP,,Prospect,omp,PL193
Biztory,,Prospect,biztory,PL194
Kono Consultants,,Prospect,kono consultants,PL195
IQVIA,,Prospect,iqvia,PL196
Seafrigo,,Prospect,seafrigo,PL197
Universiteit Antwerpen,,Prospect,universiteit antwerpen,PL198
Dachser,,Prospect,dachser,PL199
Stad Antwerpen,,Prospect,stad antwerpen,PL200
Bubka,,Prospect,bubka,PL201
Tereos,,Prospect,tereos,PL202
Blink Charging Belgium,,Prospect,blink charging belgium,PL203
Cartamundi North America,,Prospect,cartamundi north america,PL204
BTI,,Prospect,bti,PL205
Standaard Boekhandel,,Prospect,standaard boekhandel,PL206
MBS Group,,Prospect,mbs,PL207
Pluginvest,,Prospect,pluginvest,PL208
SGS Group,,Prospect,sgs,PL209
Kingsberry,,Prospect,kingsberry,PL210
Verhelst Groep,,Prospect,verhelst,PL211
Toreon,,Prospect,toreon,PL212
GIMV,,Prospect,gimv,PL213
DEME,,Prospect,deme,PL214
Farys,,Prospect,farys,PL215
Geo Square NV,,Prospect,geo square,PL216
Agidens Process Automation,,Prospect,agidens process automation,PL217
Emeria Benelux,,Prospect,emeria benelux,PL218
Skeyes,,Prospect,skeyes,PL219
Graphius Group,,Prospect,graphius,PL220
Revive,,Prospect,revive,PL221
Milcobel,,Prospect,milcobel,PL222
Beauty Inn BV,,Prospect,beauty inn,PL223
G4S Global,,Prospect,g4s global,PL224
TUI,,Prospect,tui,PL225
Belgische Federatie Filantropische Stichtingen,,Prospect,belgische federatie filantropische stichtingen,PL226
Bluu,,Prospect,bluu,PL227
Tosca,,Prospect,tosca,PL228
Meyvaert,,Prospect,meyvaert,PL229
Haerens Group,,Prospect,haerens,PL230
VeroTech,,Prospect,verotech,PL231
Jacques Ice,,Prospect,jacques ice,PL232
Rf-Technologies,,Prospect,rftechnologies,PL233
Clarebout potatoes NV,,Prospect,clarebout potatoes,PL234
Pidpa,,Prospect,pidpa,PL235
Agiliz NV,,Prospect,agiliz,PL236
Van Laere,,Prospect,van laere,PL237
Woonhaven Antwerpen,,Prospect,woonhaven antwerpen,PL238
Actoplus,,Prospect,actoplus,PL239
Axilium,,Prospect,axilium,PL240
Brouwerij Haacht,,Prospect,brouwerij haacht,PL241
Vlaamse Landmaatschappij,,Prospect,vlaamse landmaatschappij,PL242
Apojo Technologies,,Prospect,apojo technologies,PL243
P&V Panels ( en niet P&V Verzekeringen ),,Prospect,pv panels  en niet pv verzekeringen,PL244
Volvo Car (Gent),,Prospect,volvo car gent,PL245
Laco,,Prospect,laco,PL246
Matexi,,Prospect,matexi,PL247
SCE,,Prospect,sce,PL248
FlowTribe / Lawren.io / Accounton,,Prospect,flowtribe  lawrenio  accounton,PL249
In The Pocket,,Prospect,in the pocket,PL250
Baloise Insurance,,Prospect,baloise insurance,PL251
Microsoft,,Prospect,microsoft,PL252
BNP Paribas Fortis,,Prospect,bnp paribas fortis,PL253
Purna Pharmaceuticals,,Prospect,purna pharmaceuticals,PL254
Bigh,,Prospect,bigh,PL255
ASAP,,Prospect,asap,PL256
Selecta Belgium,,Prospect,selecta belgium,PL257
Vincotte,,Prospect,vincotte,PL258
Hooba,,Prospect,hooba,PL259
Nike,,Prospect,nike,PL260
Van Hoecke,,Prospect,van hoecke,PL261
Jaguar/LandRover,,Prospect,jaguarlandrover,PL262
Dexis Belgium,,Prospect,dexis belgium,PL263
Renewi,,Prospect,renewi,PL264
Guud Woman,,Prospect,guud woman,PL265
Bingli,,Prospect,bingli,PL266
Feops,,Prospect,feops,PL267
Funkey,,Prospect,funkey,PL268
Natura Mater,,Prospect,natura mater,PL269
Akzo Nobel,,Prospect,akzo nobel,PL270
Brunel,,Prospect,brunel,PL271
Zentrick / DoubleVerify,,Prospect,zentrick  doubleverify,PL272
Cheops,,Prospect,cheops,PL273
Tobania,,Prospect,tobania,PL274
Signature Foods,,Prospect,signature foods,PL275
IntelliProve,,Prospect,intelliprove,PL276
Awell Health,,Prospect,awell health,PL277
Humain,,Prospect,humain,PL278
DP World,,Prospect,dp world,PL279
Ravago,,Prospect,ravago,PL280
Rombouts,,Prospect,rombouts,PL281
Unifly,,Prospect,unifly,PL282
Klea - Legal Studio,,Prospect,klea  legal studio,PL283
Cairox Belgium,,Prospect,cairox belgium,PL284
Azteq,,Prospect,azteq,PL285
Arcadis,,Prospect,arcadis,PL286
Safran Aircraft Engine Service,,Prospect,safran aircraft engine service,PL287
AirShaper,,Prospect,airshaper,PL288
Beeodiversity,,Prospect,beeodiversity,PL289
D-CRBN,,Prospect,dcrbn,PL290
Bank Delen,,Prospect,bank delen,PL291
Antea Group,,Prospect,antea,PL292
Bimona,,Prospect,bimona,PL293
Jumbo Supermarkten,,Prospect,jumbo supermarkten,PL294
Eurofins,,Prospect,eurofins,PL295
Picanol,,Prospect,picanol,PL296
MLOZ,,Prospect,mloz,PL297
Biotalys,,Prospect,biotalys,PL298
Precirix,,Prospect,precirix,PL299
Nobi,,Prospect,nobi,PL300
Upgrade Estate,,Prospect,upgrade estate,PL301
Beeple,,Prospect,beeple,PL302
9altitudes,,Prospect,9altitudes,PL303
Stream Software,,Prospect,stream software,PL304
Metamaze,,Prospect,metamaze,PL305
Sepctricity,,Prospect,sepctricity,PL306
Silverfin,,Prospect,silverfin,PL307
Thynk.Cloud,,Prospect,thynkcloud,PL308
Skysun,,Prospect,skysun,PL309
Alphabet Belgium,,Prospect,alphabet belgium,PL310
Aquafin,,Prospect,aquafin,PL311
Avanade Belgium BVBA (Gent),,Prospect,avanade belgium bvba gent,PL312
Bilfinger,,Prospect,bilfinger,PL313
Brouwerij Alken Maes,,Prospect,brouwerij alken maes,PL314
Capgemini,,Prospect,capgemini,PL315
Delaware,,Prospect,delaware,PL316
Distrilog,,Prospect,distrilog,PL317
Euronav,,Prospect,euronav,PL318
Haribo,,Prospect,haribo,PL319
Hilti,,Prospect,hilti,PL320
Honda Motor Europe Logistics (Gent),,Prospect,honda motor europe logistics gent,PL321
Odoo,,Prospect,odoo,PL322
Phished,,Prospect,phished,PL323
Carbon-Alt-Delete,,Prospect,carbonaltdelete,PL324
Digital Realty,,Prospect,digital realty,PL325
The Shift,,Prospect,the shift,PL326
Fluxys,,Prospect,fluxys,PL327
Redwire Space,,Prospect,redwire space,PL328
G4S Care NV,,Prospect,g4s care,PL329
MUFG Bank,,Prospect,mufg bank,PL330
Terumo Europe,,Prospect,terumo europe,PL331
Digipolis,,Prospect,digipolis,PL332
BNP Paribas Leasing Solutions,,Prospect,bnp paribas leasing solutions,PL333
Umicore,,Prospect,umicore,PL334
Eriks,,Prospect,eriks,PL335
Qover,,Prospect,qover,PL336
3E,,Prospect,3e,PL337
Poppy,,Prospect,poppy,PL338
Lizy,,Prospect,lizy,PL339
Sentiance,,Prospect,sentiance,PL340
Bank DeGroof,,Prospect,bank degroof,PL341
Kone Liften Belgium,,Prospect,kone liften belgium,PL342
Ethias,,Prospect,ethias,PL343
VGD,,Prospect,vgd,PL344
Goodman,,Prospect,goodman,PL345
Gosselin,,Prospect,gosselin,PL346
Classified Cycling,,Prospect,classified cycling,PL347
Gabari,,Prospect,gabari,PL348
Equans,,Prospect,equans,PL349
P&G,,Prospect,pg,PL350
Co2Logic,,Prospect,co2logic,PL351
Loop Earplugs,,Prospect,loop earplugs,PL352
Octave Energy,,Prospect,octave energy,PL353
Azelis,,Prospect,azelis,PL354
D-carbonize,,Prospect,dcarbonize,PL355
FrieslandCampina,,Prospect,frieslandcampina,PL356
ST Engineering iDirect,,Prospect,st engineering idirect,PL357
Proximus SpearIT,,Prospect,proximus spearit,PL358
Acerta,,Prospect,acerta,PL359
Arseus Medical Group,,Prospect,arseus medical,PL360
Elia Group,,Prospect,elia,PL361
Kelloggs,,Prospect,kelloggs,PL362
ING,,Prospect,ing,PL363
Johnson&Johnson,,Prospect,johnsonjohnson,PL364
Total Energies,,Prospect,total energies,PL365
Live Light,,Prospect,live light,PL366
Freddy met Curry,,Prospect,freddy met curry,PL367
EconCore,,Prospect,econcore,PL368
Usitoo,,Prospect,usitoo,PL369
Bosaq,,Prospect,bosaq,PL370
We are Impact Collective,,Prospect,we are impact collective,PL371
Collibra,,Prospect,collibra,PL372
Showpad,,Prospect,showpad,PL373
Guardsquare,,Prospect,guardsquare,PL374
Datacamp,,Prospect,datacamp,PL375
Deliverect,,Prospect,deliverect,PL376
WeGroup,,Prospect,wegroup,PL377
Alcon,,Prospect,alcon,PL378
DHL,,Prospect,dhl,PL379
Imtech,,Prospect,imtech,PL380
KBC,,Prospect,kbc,PL381
Marsh,,Prospect,marsh,PL382
Rentokil Initial,,Prospect,rentokil initial,PL383
Aion Bank,,Prospect,aion bank,PL384
C&A,,Prospect,ca,PL385
Samsung,,Prospect,samsung,PL386
Unizo,,Prospect,unizo,PL387
Willemen,,Prospect,willemen,PL388
Xerius,,Prospect,xerius,PL389
Zorgbedrijf Antwerpen,,Prospect,zorgbedrijf antwerpen,PL390
Creadomus,,Prospect,creadomus,PL391
Dematic,,Prospect,dematic,PL392
Diversey,,Prospect,diversey,PL393
Konato,,Prospect,konato,PL394
Meat&more,,Prospect,meatmore,PL395
Nipro,,Prospect,nipro,PL396
NMBS,,Prospect,nmbs,PL397
Rituals,,Prospect,rituals,PL398
UPS,,Prospect,ups,PL399
CWS Belux,,Prospect,cws belux,PL400
Vanbreda Risk & Benefits,,Klant,vanbreda risk  benefits,PL401
Credix,,Prospect,credix,PL402
SweepBright,,Prospect,sweepbright,PL403
Vooruitzicht,,Prospect,vooruitzicht,PL404
Greenomy,,Prospect,greenomy,PL405
KPLER Holding,,Prospect,kpler,PL406
Solix Search,,Nieuwe klant,solix search,PL407
Teamleader,,Prospect,teamleader,PL408
Alpro - (Vlg mij deel van Danone ),,Prospect,alpro  vlg mij deel van danone,PL409
Water Link,,Prospect,water link,PL410
Vivium,,Prospect,vivium,PL411
VAB,,Prospect,vab,PL412
Facilicom,,Prospect,facilicom,PL413
IMPACT,,Prospect,impact,PL414
Brand Quadergy,,Prospect,brand quadergy,PL415
Unilin,,Klant,unilin,PL416
AZ Herentals,,Prospect,az herentals,PL417
Mood.Management,,Prospect,moodmanagement,PL418
Mylan EPD BV,,Prospect,mylan epd,PL419
Novartis,,Prospect,novartis,PL420
Om Collective,,Prospect,om collective,PL421
Option Media,,Prospect,option media,PL422
PATROBA Family Bakers NV,,Prospect,patroba family bakers,PL423
Pauwels N.V,,Prospect,pauwels,PL424
Recruitment Architects,,Prospect,recruitment architects,PL425
Resengo,,Prospect,resengo,PL426
Resilient Business BV,,Prospect,resilient business,PL427
SD Worx,,Prospect,sd worx,PL428
Sea Tank Terminal,,Prospect,sea tank terminal,PL429
Smart Presentations,,Prospect,smart presentations,PL430
Smartwithfood,,Prospect,smartwithfood,PL431
Jackon Insulation by BEWI,,,jackon insulation by bewi,PL432
Smulders,,,smulders,PL433
Xplore Group,,,xplore,PL434
Sodibe,,,sodibe,PL435
Sunweb,,,sunweb,PL436
Sthree,,,sthree,PL437
DELA België,,,dela belgi,PL438
Tom&Co,,,tomco,PL439
GZA Ziekenhuzien,,,gza ziekenhuzien,PL440
Dragintra,,,dragintra,PL441
Headit,,,headit,PL442
Companions,,,companions,PL443
Nespresso/Nestle,,,nespressonestle,PL444
ZEB (Fashion Society),,,zeb fashion society,PL445
Colruyt Group,,,colruyt,PL446
AB inbev,,,ab inbev,PL447
Bridgestone Europe,,,bridgestone europe,PL448
Aurubis Olen,,,aurubis olen,PL449
Carrefour Belgium,,,carrefour belgium,PL450
Proximus,,,proximus,PL451
Barry Callebaut Belgium,,,barry callebaut belgium,PL452
Allianz Benelux,,,allianz benelux,PL453
KBC Verzekeringen,,,kbc verzekeringen,PL454
Kuwait Petroleum (Belgium),,,kuwait petroleum belgium,PL455
Atlas Copco Airpower,,,atlas copco airpower,PL456
ING België,,,ing belgi,PL457
Telenet (dubbel - zie cx),,,telenet dubbel  zie cx,PL458
TD SYNNEX Belgium,,,td synnex belgium,PL459
Mercedes-Benz Belgium Luxembourg,,,mercedesbenz belgium luxembourg,PL460
Komatsu Europe Internat.,,,komatsu europe internat,PL461
P & V Verzekeringen,,,p  v verzekeringen,PL462
Chevron Phillips Chemicals,,,chevron phillips chemicals,PL463
Eneco Belgium,,,eneco belgium,PL464
Estée Lauder,,,este lauder,PL465
SJM Coordination Center (nu Abott),,,sjm coordination center nu abott,PL466
Nationale Loterij,,,nationale loterij,PL467
Elia Transmission Belgium,,,elia transmission belgium,PL468
Ontex,,,ontex,PL469
DAF Trucks België,,,daf trucks belgi,PL470
Levi Strauss & Co Europe,,,levi strauss  co europe,PL471
Jan De Nul,,,jan de nul,PL472
Envalior,,,envalior,PL473
BICS,,,bics,PL474
Action Belgium,,,action belgium,PL475
Inter Partner Assistance,,,inter partner assistance,PL476
TotalEnergies Refinery Antwerp,,,totalenergies refinery antwerp,PL477
Kuehne + Nagel,,,kuehne  nagel,PL478
Fabricom,,,fabricom,PL479
Fluxys Belgium,,,fluxys belgium,PL480
UPS Europe,,,ups europe,PL481
EuroChem Antwerpen,,,eurochem antwerpen,PL482
DHL Global Forwarding,,,dhl global forwarding,PL483
TalentBay,,,talentbay,PL484
IMEC,,,imec,PL485
Aluminium Duffel,,,aluminium duffel,PL486
Cepa,,,cepa,PL487
The Bank of New York Mellon,,,the bank of new york mellon,PL488
De Watergroep,,,de watergroep,PL489
DKV Belgium,,,dkv belgium,PL490
"Aquafin (dubbel ACS ok, andere CP)",,,aquafin dubbel acs ok andere cp,PL491
Argenta Spaarbank,,,argenta spaarbank,PL492
JD Sports Fashion Belgium,,,jd sports fashion belgium,PL493
Worldline,,,worldline,PL494
Athora Belgium,,,athora belgium,PL495
BelOrta,,,belorta,PL496
Janssen-Cilag,,,janssencilag,PL497
Ets. L. Lacroix Fils,,,ets l lacroix fils,PL498
Van Hool,,,van hool,PL499
Alpha Credit,,,alpha credit,PL500
Albert Heijn België,,,albert heijn belgi,PL501
FWO,,,fwo,PL502
Hubo België,,,hubo belgi,PL503
Lubrizol Advanced Materials Europe,,,lubrizol advanced materials europe,PL504
KBC Groep,,,kbc,PL505
Agfa,,,agfa,PL506
Smals,,,smals,PL507
GB Foods Belgium,,,gb foods belgium,PL508
Krëfel,,,krfel,PL509
Agfa-Gevaert,,,agfagevaert,PL510
Nestlé Belgilux,,,nestl belgilux,PL511
Schenker,,,schenker,PL512
LeasePlan,,,leaseplan,PL513
NTT Belgium,,,ntt belgium,PL514
Kaneka Belgium,,,kaneka belgium,PL515
DSV Air & Sea,,,dsv air  sea,PL516
Siemens Healthcare,,,siemens healthcare,PL517
Inditex Belgique,,,inditex belgique,PL518
DHL International,,,dhl international,PL519
United Parcel Service Belgium,,,united parcel service belgium,PL520
SAP Belgium,,,sap belgium,PL521
Gyproc / Isover,,,gyproc  isover,PL522
VPK Packaging,,,vpk packaging,PL523
PPG Coatings Belgium,,,ppg coatings belgium,PL524
Duvel Moortgat,,,duvel moortgat,PL525
Essity Belgium,,,essity belgium,PL526
Desco,,,desco,PL527
DEME Offshore BE,,,deme offshore be,PL528
Yara Belgium,,,yara belgium,PL529
3M Belgium,,,3m belgium,PL530
Danone Rotselaar SP,,,danone rotselaar,PL531
Ysco,,,ysco,PL532
Eviden Belgium,,,eviden belgium,PL533
Securitas,,,securitas,PL534
H & M Hennes & Mauritz,,,h  m hennes  mauritz,PL535
ISS Facility Services,,,iss facility services,PL536
Henkel Belgium,,,henkel belgium,PL537
C&A België,,,ca belgi,PL538
Sodexo Belgium,,,sodexo belgium,PL539
Mars Belgium,,,mars belgium,PL540
Aon Belgium,,,aon belgium,PL541
Tata Consultancy Services Belgium,,,tata consultancy services belgium,PL542
Ineos Styrolution Belgium,,,ineos styrolution belgium,PL543
General Services Antwerp,,,general services antwerp,PL544
Hewlett Packard Enterprise Belgium,,,hewlett packard enterprise belgium,PL545
Pauwels,,,pauwels,PL546
Pharma Logistics,,,pharma logistics,PL547
Sligro Food Group Belgium,,,sligro food  belgium,PL548
Indaver,,,indaver,PL549
AS Adventure,,,as adventure,PL550
C&A Buying,,,ca buying,PL551
Sanofi Belgium,,,sanofi belgium,PL552
Asco Industries,,,asco industries,PL553
Servauto Belgium,,,servauto belgium,PL554
DHL Aviation,,,dhl aviation,PL555
Alcon-Couvreur,,,alconcouvreur,PL556
FedEx Express BE,,,fedex express be,PL557
FEDERALE ASSURANCE,,,federale assurance,PL558
Sweco Belgium,,,sweco belgium,PL559
Greenyard Fresh Belgium,,,greenyard fresh belgium,PL560
Zeeman Textiel Supers,,,zeeman textiel supers,PL561
Apok,,,apok,PL562
Nokia Bell,,,nokia bell,PL563
Scania BeNeLux,,,scania benelux,PL564
Air Products,,,air products,PL565
Recticel,,,recticel,PL566
Signify Belgium,,,signify belgium,PL567
Becton Dickinson Distribution Cent.,,,becton dickinson distribution cent,PL568
STG,,,,PL569
Stadsbader Contractors,,,stadsbader contractors,PL570
Sarens,,,sarens,PL571
Veolia,,,veolia,PL572
ABB,,,abb,PL573
TUI Belgium Retail,,,tui belgium retail,PL574
bpost bank,,,bpost bank,PL575
Tuc Rail,,,tuc rail,PL576
Verbraeken Infra,,,verbraeken infra,PL577
PPD Global Central Labs,,,ppd global central labs,PL578
Livlina,,,livlina,PL579
Casa International,,,casa international,PL580
Ineos Manufacturing Belgium,,,ineos manufacturing belgium,PL581
Artes Roegiers,,,artes roegiers,PL582
